City,Departure_Date,Return_Date,Picture_Path,Price,Num_Stops,Duration_Hours,Duration_Minutes,Lodging_Cost,Description
Bangkok,Apr 7,Apr 13,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTzilmCmXgp0oOE9M6wLDGanvDzV-JWY2TmcFoGGAbZtNweTI1N2zEemXFwybLg8d51bRTaIQRSdNuIHMSiqZz0FRDiOkHsmA9nU3QoIeM,593,1,24,45,25,"Bangkok[a] is the capital and most populous city of Thailand, also known by its endonym Krung Thep Maha Nakhon[b] or colloquially Krung Thep.[c] The city occupies 1,568.7 square kilometres (605.7 sq mi) in the Chao Phraya River delta in central Thailand and has an estimated population of 10.539 million as of 2020, 15.3 percent of the country's population. Over fourteen million people (22.2 percent) lived within the surrounding Bangkok Metropolitan Region at the 2010 census, making Bangkok an extreme primate city, dwarfing Thailand's other urban centres in both size and importance to the national economy.
"
Ho Chi Minh City,Apr 9,Apr 15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAQYfFKBzQJ9QQ6ImNp1NSzNFN-DDNPtUFa-Ynx1-JuxBtey88KqrgecSJQgYSPt0coeBQMIs4XlxioW4Tvcwt6-Ghore7WG2_hT2vfwg,704,1,30,35,26,"Ho Chi Minh City (Vietnamese: Thành phố Hồ Chí Minh; [tʰàjŋ̟ fǒ hò cǐ mīŋ̟] (listen) or [tʰàn fǒ hò cǐ mɨ̄n] (listen)), formerly and commonly known as Saigon (Vietnamese: Sài Gòn; [sàj ɣɔ̀n] (listen) or [ʂàj ɣɔ̀ŋ] (listen)), is the largest city in Vietnam, situated in the south. In the southeastern region, the city surrounds the Saigon River and covers about 2,061 square kilometres (796 square miles).
"
Hanoi,May 23,May 30,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQZ8tHjjmoEYxqQKB9neULE8aUtok4PpAS5Vt6xYRLkbnkg44N-mRchJXY6HlxrkBsMjjT0fWaqtgTi1eg8SwwZXFD7cIq87u8J68EndMY,799,2,28,10,29,"Hanoi (UK: /(ˌ)hæ-, həˈnɔɪ/ ha-, hə-NOY or US: /hɑː-/ hah-NOY; Vietnamese: Hà Nội [hàː nôjˀ] (listen)) is the capital city of Vietnam. It covers an area of 3,358.6 km2 (1,296.8 sq mi).[3] The second largest city in Vietnam, it consists of 12 urban districts, 1 district-leveled town and 17 rural districts. Located within the Red River Delta, Hanoi is the cultural and political centre of Vietnam.
"
Singapore,Feb 7,Feb 14,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTSJWbd9OqFwxxcNx4rRYOGMSI4jY4eteDMKg8B8ySXrvHDBJHkzw211ubU_yT_c5R2xVNULn5NfAk3ZeW63iZoWU9rLNhfQuSxllCszJg,771,1,20,40,71,"Singapore (/ˈsɪŋ(ɡ)əpɔːr/ (listen)), officially the Republic of Singapore, is a sovereign island city-state in maritime Southeast Asia. It lies about one degree of latitude (137 kilometres or 85 miles) north of the equator, off the southern tip of the Malay Peninsula, bordering the Straits of Malacca to the west, the Riau Islands (Indonesia) to the south, and the South China Sea to the east. The country's territory is composed of one main island, 63 satellite islands and islets, and one outlying islet, the combined area of which has increased by 25% since the country's independence as a result of extensive land reclamation projects. It has the second greatest population density in the world. With a multicultural population and recognising the need to respect cultural identities, Singapore has four official languages; English, Malay, Mandarin, and Tamil. English is the lingua franca. Multiracialism is enshrined in the constitution and continues to shape national policies in education, housing, and politics.
"
Bali,Mar 28,Apr 5,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRC7iWUQXdTBT0btKv4Q_43E_Hz_TSCBloIl7AjNfZVFFkqxmrDj1bCZHADAmMPwWG-Qd3xQCZnVjnRrl3GgHrjk0NPWPWUmiHw5g0qd-A,743,2,37,30,27,"Bali (/ˈbɑːli/; Balinese: ᬩᬮᬶ) is a province of Indonesia and the westernmost of the Lesser Sunda Islands. East of Java and west of Lombok, the province includes the island of Bali and a few smaller neighbouring islands, notably Nusa Penida, Nusa Lembongan, and Nusa Ceningan. The provincial capital, Denpasar,[7] is the most populous city in the Lesser Sunda Islands and the second-largest, after Makassar, in Eastern Indonesia. The upland town of Ubud in Greater Denpasar is considered Bali's cultural centre. The province is Indonesia's main tourist destination, with a significant rise in tourism since the 1980s.[8] Tourism-related business makes up 80% of its economy.[9]
"
Kuala Lumpur,Feb 21,Mar 1,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS2p5q9M-Eb_IhSalrKldtIgLyJcozIYEWRNBPxXwQu3pA0JaiyYC8sLKVYYzeuMWVG_eMcpmgtZAHDMRXZLuHBk2DGV9TmwPtHCJVYk5I,622,2,20,35,23,"Kuala Lumpur (Malaysian pronunciation: [ˈkualə, -a ˈlumpo(r), -ʊ(r)]), officially the Federal Territory of Kuala Lumpur (Malay: Wilayah Persekutuan Kuala Lumpur) and colloquially referred to as KL, is a federal territory and the capital city of Malaysia. It is the largest city in Malaysia, covering an area of 243 km2 (94 sq mi) with an estimated population of 1.73 million as of 2016[update].[9] Greater Kuala Lumpur, also known as the Klang Valley, is an urban agglomeration of 7.564 million people as of 2018[update].[5] It is among the fastest growing metropolitan regions in Southeast Asia, both in population and economic development.
"
Chiang Mai,Apr 7,Apr 13,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQtsXobw8QG2qjRsKP5BFFUqmNBLz5m-Pa_DmR8V1AROoFcR2_xRe3i_Sbu0ueYXeUC8qyrzou0XXsCEv3YOIevyE6GIZC41cwkpA19xfw,804,1,20,20,24,"Chiang Mai (meaning ""New City"" in Thai) was founded in 1296 as the new capital of Lan Na, succeeding the former capital, Chiang Rai.[3]: 208–209  The city's location on the Ping River (a major tributary of the Chao Phraya River) and its proximity to major trading routes contributed to its historic importance.[4][5]
"
Phuket,Mar 7,Mar 14,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSOOdDkWs6k97NDkqkTcUKyvBCPqXd_-lPazbx-Cf7MWf7yR010HaLmHvqHb0I5niWe50ku6Ke1ncQLQ1odHMTR36BvOjAsb8UztCGEz2Q,719,1,24,30,21,"Phuket province has an area of 576 km2 (222 sq mi), somewhat less than that of Singapore, and is the second-smallest province of Thailand. The island was on one of the major trading routes between India and China, and was frequently mentioned in foreign ships' logs of Portuguese, French, Dutch, and English traders, but was never colonised by a European power. It formerly derived its wealth from tin and rubber and now from tourism.
"
Hạ Long Bay,May 9,May 15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsQVpWaXkIBGxERCvCATcehLH6-D_vwkleC-zSh0vjCjHktA0jSaN26Z7f70sVE3KFG4a3FYM3kaDbsW_YPpgbS-JsOdA0tC6euu9keK0,757,2,37,15,31,"Hạ Long Bay or Halong Bay (Vietnamese: Vịnh Hạ Long, IPA: [vînˀ hâːˀ lawŋm] (listen)) is a UNESCO World Heritage Site and popular travel destination in Quảng Ninh Province, Vietnam. The name Hạ Long means ""descending dragon"". Administratively, the bay belongs to Hạ Long city, Cẩm Phả city, and is a part of Vân Đồn District. The bay features thousands of limestone karsts and isles in various shapes and sizes. Ha Long Bay is a center of a larger zone which includes Bai Tu Long Bay to the northeast, and Cát Bà Island to the southwest. These larger zones share a similar geological, geographical, geomorphological, climate, and cultural characters.
"
Manila,May 9,May 16,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSBaQL14A1oYnvhuDpm8H18jDURDn5obZzviuw1v8vBYmGDi-1gUg9W4s_go3Y3OPhIYPHFNqeyIUiofV7nAn6u_YcPlsCAGGgyl0Uh57E,992,2,22,40,42,"Manila (/məˈnɪlə/ mə-NIH-lə, Spanish: [ma'nila]; Filipino: Maynila, pronounced [majˈnilaʔ]), officially the City of Manila (Filipino: Lungsod ng Maynila, locally [luŋˈsod nɐŋ majˈnilaʔ]), is the capital of the Philippines, and its second most populous city. It is highly urbanized and as of 2019 was the world's most densely populated city proper.[11] It was the first chartered city in the country, designated as such by the Philippine Commission Act 183 of July 31, 1901. It became autonomous with the passage of Republic Act No. 409, ""The Revised Charter of the City of Manila,"" on June 18, 1949.[12] Manila, Mexico City, and Madrid are considered the world's original set of global cities because Manila's commercial networks were the first to extend across the Pacific Ocean and connect Asia with the Spanish Americas. When this was accomplished, it marked the first time in world history that an uninterrupted chain of trade routes circling the planet had been established.[13] Manila is the second most natural-disaster-afflicted capital city in the world after Tokyo.[14] Nevertheless, it is among the most populous and fastest growing cities in Southeast Asia.[15]
"
